Setup,Trades,Wins,Losses,Win Rate,Avg PnL,Total PnL,Best,Worst
11 Opening Drive,1,0,1,0.0%,-50.04%,-50.04%,+0.00%,-50.04%
12 Pre-Close Momentum,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
13 Round Number,1,0,1,0.0%,-50.00%,-50.00%,+0.00%,-50.00%
14 EMA Pullback,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
15 BB Snapback,1,0,1,0.0%,-50.03%,-50.03%,+0.00%,-50.03%
16 ORB Range,1,0,1,0.0%,-50.00%,-50.00%,+0.00%,-50.00%
17 Volume Climax,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
18 Mean Reversion,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
19 First Hour Breakout,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
20 Bar Exhaustion,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
21 Pivot Bounce,1,0,1,0.0%,-50.02%,-50.02%,+0.00%,-50.02%
22 EMA Crossover,1,0,1,0.0%,-50.05%,-50.05%,+0.00%,-50.05%
23 Gap and Go,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
24 Double Top/Bottom,1,0,1,0.0%,-50.02%,-50.02%,+0.00%,-50.02%
25 Afternoon Range,1,0,1,0.0%,-50.00%,-50.00%,+0.00%,-50.00%
26 EMA VWAP Combo,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
27 VWAP Round Combo,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
28 EMA5 Scalp,1,0,1,0.0%,-50.05%,-50.05%,+0.00%,-50.05%
29 RSI(2) Extreme,1,0,1,0.0%,-50.03%,-50.03%,+0.00%,-50.03%
30 Afternoon Momentum,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
31 ADX Surge Breakout,0,0,0,0.0%,+0.00%,+0.00%,+0.00%,+0.00%
33 NR7 Breakout,1,0,1,0.0%,-50.02%,-50.02%,+0.00%,-50.02%
35 ATR Expansion,1,0,1,0.0%,-50.04%,-50.04%,+0.00%,-50.04%
